Class,Alcohol,Malic acid, Ash, Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
3,13.84,4.12,2.38,19.5,89,1.8,.83,.48,1.56,9.01,.57,1.64,480,7.4,0.24,0.42,14,66,48,198,0.9979,2.89,0.42,8.9,6
3,12.45,3.03,2.64,27,97,1.9,.58,.63,1.14,7.5,.67,1.73,880,6.1,0.32,0.24,1.5,36,38,124,0.9898,3.29,0.42,12.4,7
3,14.34,1.68,2.7,25,98,2.8,1.31,.53,2.7,13,.57,1.96,660,5.2,0.44,0.04,1.4,36,43,119,0.9894,3.36,0.33,12.1,8
3,13.48,1.67,2.64,22.5,89,2.6,1.1,.52,2.29,11.75,.57,1.78,620,5.2,0.44,0.04,1.4,36,43,119,0.9894,3.36,0.33,12.1,8
3,12.36,3.83,2.38,21,88,2.3,.92,.5,1.04,7.65,.56,1.58,520,6.1,0.32,0.24,1.5,36,38,124,0.9898,3.29,0.42,12.4,7
3,13.69,3.26,2.54,20,107,1.83,.56,.5,.8,5.88,.96,1.82,680,6.4,0.22,0.56,14.5,55,27,159,998,2.98,0.4,9.1,5
3,12.85,3.27,2.58,22,106,1.65,.6,.6,.96,5.58,.87,2.11,570,6.3,0.36,0.3,4.8,49,14,85,0.9932,3.28,0.39,10.6,5
3,12.96,3.45,2.35,18.5,106,1.39,.7,.4,.94,5.28,.68,1.75,675,7.4,0.24,0.42,14,66,48,198,0.9979,2.89,0.42,8.9,6
3,13.78,2.76,2.3,22,90,1.35,.68,.41,1.03,9.58,.7,1.68,615,6.7,0.24,0.35,13.1,0.05,64,205,997,3.15,0.5,9.5,5
3,13.73,4.36,2.26,22.5,88,1.28,.47,.52,1.15,6.62,.78,1.75,520,7,0.23,0.36,13,51,72,177,0.9972,3.16,0.49,9.8,5
3,13.45,3.7,2.6,23,111,1.7,.92,.43,1.46,10.68,.85,1.56,695,8.4,0.27,0.46,8.7,48,39,197,0.9974,3.14,0.59,9.6,6
3,12.82,3.37,2.3,19.5,88,1.48,.66,.4,.97,10.26,.72,1.75,685,6.7,0.46,0.18,2.4,34,25,98,0.9896,3.08,0.44,12.6,7
3,13.58,2.58,2.69,24.5,105,1.55,.84,.39,1.54,8.66,.74,1.8,750,7.5,0.29,0.31,8.95,55,20,151,0.9968,3.08,0.54,9.3,5
3,13.4,4.6,2.86,25,112,1.98,.96,.27,1.11,8.5,.67,1.92,630,9.8,0.42,0.48,9.85,34,5,110,0.9958,2.87,0.29,10,5
3,12.2,3.03,2.32,19,96,1.25,.49,.4,.73,5.5,.66,1.83,510,7.1,0.3,0.46,1.5,66,29,133,0.9906,3.12,0.54,12.7,6
3,12.77,2.39,2.28,19.5,86,1.39,.51,.48,.64,9.899999,.57,1.63,470,7.9,0.19,0.45,1.5,45,17,96,0.9917,3.13,0.39,11,6
3,14.16,2.51,2.48,20,91,1.68,.7,.44,1.24,9.7,.62,1.71,660,7.6,0.48,0.37,0.8,37,4,100,0.9902,3.03,0.39,11.4,4
3,13.71,5.65,2.45,20.5,95,1.68,.61,.52,1.06,7.7,.64,1.74,740,6.3,0.22,0.43,4.55,38,31,130,0.9918,3.35,0.33,11.5,7
3,13.4,3.91,2.48,23,102,1.8,.75,.43,1.41,7.3,.7,1.56,750,7.5,0.27,0.31,17.7,51,33,173,999,3.09,0.64,10.2,5
3,13.27,4.28,2.26,20,120,1.59,.69,.43,1.35,10.2,.59,1.56,835,6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,6
3,13.17,2.59,2.37,20,120,1.65,.68,.53,1.46,9.3,.6,1.62,840,7.2,0.32,0.47,5.1,44,19,65,991,3.03,0.41,12.6,4
3,14.13,4.1,2.74,24.5,96,2.05,.76,.56,1.35,9.2,.61,1.6,560,5.9,0.23,0.3,12.9,54,57,170,0.9972,3.28,0.39,9.4,5
